assetNumber,customer_account,product,asset_type,device_name,manufacturer,vendor,model,model_version,serial_number,ip_address,snmp_community_string,location,owner,contracts_start_dt,contracts_end_dt,aggregated_to_,status,vendor_account_manager,contact_number,contact_email,website,service_availed,cost,cost_frequency,tags,notes,created_dt,created_by
NH0009930,VIF,Switch,Hardware,VIF-013-SW,Juniper,Extreme Networks,EX4800-48P,"",8PYPZ9ZPX5YY,158.200.13.80,49x294,Surrey,Malena Nower,2023-09-27 00:40:44,2023-12-27 00:40:44,NH0009930,Active,Westleigh Abernethy,895-324-6973,wabernethy0@deliciousdays.com,https://shinystat.com,Deployment Service,2264.34,Bi-Weekly,,,2023-09-27 00:40:44,ddandekar
NH0009496,FVW,Switch,Hardware,FVW-013-SW,Juniper,Extreme Networks,EX4800-48P,,Y04YO8U40M95,14.184.117.160,qj98ti,New Westminster,Briney Renault,2023-09-15 06:22:40,2024-02-15 06:22:40,,Active,Mathilda Rany,747-763-2830,mrany1@flickr.com,https://gov.uk,Deployment Service,24926.75,One-time payment,,,2023-07-15 06:22:40,lsule
NH0004392,ZWI,Switch,Hardware,ZWI-093-SW,Arista,Extreme Networks,DCS-7124S,,W7413X9I998J,111.233.148.191,9w4ivn,Vancouver,Florencia Metzig,2023-08-30 14:01:34,2023-11-30 14:01:34,,Active,Morley Tavner,661-583-5003,mtavner2@dion.ne.jp,http://ehow.com,Deployment Service,20254.52,Bi-Weekly,,,2023-08-30 14:01:34,ddandekar
NH0003924,ZWI,Switch,Hardware,ZWI-083-SW,Arista,Extreme Networks,DCS-7048T-4S-F,,R7Z6681O4G70,16.128.183.35,2m5712,Burnaby,Lionello Schlag,2023-07-27 21:38:07,2024-07-27 21:38:07,,Active,Witty Danovich,274-764-8759,wdanovich3@lulu.com,http://latimes.com,After Sales Service,7041.13,Annual,,,2023-06-27 21:38:07,lsule
NH0000363,XZS,Switch,Hardware,XZS-003-SW,Arista,Extreme Networks,DCS-7048T-4S-F,,5D0Z2W715MR9,137.199.84.123,kg032y,New Westminster,Stepha Moncarr,2023-08-26 05:28:59,2025-06-26 05:28:59,,Active,Douglas De Cruze,832-702-9264,dde4@trellian.com,http://xinhuanet.com,After Sales Service,26446.52,One-time payment,,,2023-08-26 05:28:59,ddandekar
NH0006595,ZWI,Switch,Hardware,ZWI-073-SW,Juniper,Extreme Networks,EX4100-48P,"",LWUQH3O8R4U2,27.205.32.199,4m8i0b,Burnaby,Aileen Linn,2023-09-22 10:03:58,2025-06-22 10:03:58,NH0006595,Active,Minni Tyers,767-685-5791,mtyers5@mysql.com,http://intel.com,Deployment Service,7779.18,Annual,ZWI,,2023-08-22 10:03:58,ddandekar
NH0002296,ZWI,Switch,Hardware,ZWI-063-SW,Juniper,Extreme Networks,EX4800-48P,"",765I0IC40P6B,127.78.78.165,fso6sk,Burnaby,Issy Phelit,2023-08-17 10:29:52,2024-10-17 10:29:52,,Active,Dewie Ollet,253-583-4318,dollet6@bloglovin.com,http://multiply.com,Deployment Service,2615.95,Annual,,,2023-06-17 10:29:52,ddandekar
NH0002917,VIF,Router,Hardware,VIF-043-RT,Juniper,Extreme Networks,MX80-AC,"",T0YXQG2ZA490,247.69.54.85,6x2zz3,Burnaby,Moll Nehlsen,2023-09-15 20:10:36,2024-10-15 20:10:36,,Active,Yolanthe Lightbown,310-863-8165,ylightbown7@wisc.edu,https://mediafire.com,After Sales Service,12936.27,Monthly,,,2023-09-15 20:10:36,tpastoril
NH0006539,TRQ,Switch,Hardware,TRQ-023-SW,Juniper,Extreme Networks,EX4100-48P,,LG14860BSJNU,228.152.196.47,4e0k1t,Burnaby,Janessa Ghost,2023-10-23 21:43:58,2025-06-23 21:43:58,,Active,Dicky Avramovitz,114-663-3496,davramovitz8@jiathis.com,https://networkadvertising.org,After Sales Service,12232.49,Annual,,,2023-08-23 21:43:58,tpastoril
NH0007931,FVW,Switch,Hardware,FVW-053-SW,Juniper,Extreme Networks,EX4100-48P,,G4Q563N2DLPF,222.28.232.23,r7m4el,New Westminster,Ches Bowart,2023-09-14 23:25:43,2024-04-14 23:25:43,NH0007931,Active,Karilynn Grunnell,500-383-9429,kgrunnell9@dailymail.co.uk,https://tmall.com,After Sales Service,12511.36,Monthly,,,2023-09-14 23:25:43,ddandekar
NH0008371,TRQ,Router,Hardware,TRQ-083-RT,Juniper,Extreme Networks,MX80-AC,,P1T642D2TW8I,56.194.241.165,n098o1,Burnaby,Reynold Bradnick,2023-08-08 16:04:41,2024-11-08 16:04:41,,Active,Roselin Petley,645-911-6657,rpetleya@geocities.jp,http://goo.ne.jp,Deployment Service,7063.38,Bi-Weekly,,,2023-08-08 16:04:41,tpastoril
NH0005862,TRQ,Switch,Hardware,TRQ-073-SW,Juniper,Extreme Networks,EX4100-48P,,VNE7V3O78LRU,72.93.169.203,qqs52t,Surrey,Rogerio Bartolomeazzi,2023-10-09 23:34:51,2024-02-09 23:34:51,NH0005862,Active,Malchy Wilgar,984-877-1278,mwilgarb@uiuc.edu,http://youtube.com,Deployment Service,19821.16,Annual,,,2023-09-09 23:34:51,lsule
NH0003896,XZS,Switch,Hardware,XZS-073-SW,Juniper,Extreme Networks,EX4100-48P,"",21NJT17Z602F,173.160.167.59,r6k230,Vancouver,Regan Arni,2023-10-06 06:48:33,2024-12-06 06:48:33,,Active,Zita Hubber,626-991-1682,zhubberc@geocities.jp,https://prweb.com,After Sales Service,23727.79,Annual,XZS,,2023-08-06 06:48:33,lsule
NH0005095,TRQ,Switch,Hardware,TRQ-013-SW,Juniper,Extreme Networks,EX4100-48P,"",9MK16QAM7W48,67.223.102.8,i43585,Surrey,Kata Ironside,2023-10-18 11:36:23,2024-11-18 11:36:23,NH0005095,Active,Gertie Astbury,991-268-9018,gastburyd@huffingtonpost.com,https://prweb.com,After Sales Service,19497.0,Monthly,,,2023-09-18 11:36:23,tpastoril
NH0008894,VIF,Not applicable,Software,Microsoft Exchange Server 2019 - Enterprise License,Microsoft,Extreme Networks,SKU 395-04604,,45SWZCG6G3MB,6.251.232.184,6djp0q,Vancouver,Odetta Brogini,2023-09-04 09:44:25,2024-10-04 09:44:25,,Active,Pen Iacovelli,594-308-3427,piacovellie@qq.com,https://kickstarter.com,Deployment Service,11052.15,One-time payment,,,2023-07-04 09:44:25,lsule
NH0002377,ZWI,Switch,Hardware,ZWI-073-SW,Cisco,Extreme Networks,CBS220-48T-4G,,495GK7VQQRA4,253.89.224.28,6lhjp8,Burnaby,Annetta Earthfield,2023-09-19 08:08:31,2025-09-19 08:08:31,,Active,Ellene Hazart,241-752-3997,ehazartf@blogspot.com,https://taobao.com,After Sales Service,18596.17,Annual,,,2023-08-19 08:08:31,ddandekar
NH0000318,ZWI,Switch,Hardware,ZWI-013-SW,Juniper,Extreme Networks,EX4100-48P,"",26E9QU60J6O0,225.147.215.51,f49249,Surrey,Maurizio Sauvage,2023-09-12 15:49:12,2024-08-12 15:49:12,,Active,Elfreda Dumbleton,611-142-8868,edumbletong@deviantart.com,https://elpais.com,After Sales Service,8716.31,Annual,ZWI,,2023-08-12 15:49:12,lsule
NH0009051,TRQ,Router,Hardware,TRQ-063-RT,Arista,Extreme Networks,AWE-5510,"",BNVUR8I50X6L,231.74.21.171,95mb5o,New Westminster,Gaynor Hammand,2023-10-18 05:19:21,2025-05-18 05:19:21,,Decommisioned,Patrizius Ledley,780-497-5202,pledleyh@ed.gov,https://usda.gov,Deployment Service,11507.84,One-time payment,,,2023-09-18 05:19:21,tpastoril
NH0003782,FVW,Switch,Hardware,FVW-073-SW,Juniper,Extreme Networks,EX4100-48P,"",TUBTI4WMRF81,63.237.5.4,9tt81s,Burnaby,Lancelot Pietzke,2023-09-16 18:29:58,2025-03-16 18:29:58,,Active,Antons Tennison,297-553-0935,atennisoni@umn.edu,http://studiopress.com,Deployment Service,23868.88,One-time payment,,,2023-08-16 18:29:58,tpastoril
NH0007516,TRQ,Switch,Hardware,TRQ-063-SW,Juniper,Extreme Networks,EX4100-48P,,53COW8428RS8,248.12.114.116,k1mu0c,Burnaby,Son Holt,2023-08-18 04:20:50,2025-06-18 04:20:50,,Active,Devina Biddiss,907-964-6484,dbiddissj@myspace.com,http://dion.ne.jp,Deployment Service,24471.23,One-time payment,,,2023-07-18 04:20:50,tpastoril
NH0004080,XZS,Switch,Hardware,XZS-093-SW,Arista,Extreme Networks,DCS-7048T-4S-F,,14BN83JR8ZCX,49.124.191.94,e7x079,Vancouver,Monty Sebrook,2023-09-08 04:30:13,2025-02-08 04:30:13,,Active,Silvain Brellin,867-717-6079,sbrellink@senate.gov,http://stumbleupon.com,Deployment Service,1391.56,Annual,,tellus semper,2023-08-08 04:30:13,ddandekar
NH0003272,VIF,AP,Hardware,VIF-093-AP,Aruba,Extreme Networks,AP635 R7J27A,,LL6K12AYDK4P,202.197.197.108,s60w44,New Westminster,Ashbey Leech,2023-10-15 21:14:37,2024-07-15 21:14:37,,Active,Kary Urvoy,866-513-4595,kurvoyl@china.com.cn,https://spiegel.de,After Sales Service,12495.46,Annual,VIF,,2023-09-15 21:14:37,lsule
